RouteInfo start
116.1101690 39.9290232
116.1102600 39.8867550
116.110226 39.929101
116.110334 39.929054
116.110473 39.929011
116.110473 39.929010
116.110447 39.929140
116.110447 39.929140
116.110412 39.929309
116.110356 39.929452
116.110356 39.929452
116.110135 39.929926
116.110092 39.930051
116.110053 39.930116
116.110053 39.930116
116.109910 39.930411
116.109910 39.930411
116.109845 39.930524
116.109823 39.930576
116.109823 39.930576
116.109754 39.930719
116.109754 39.930719
116.109723 39.930814
116.109723 39.930814
116.109689 39.930944
116.109688 39.930946
116.108993 39.930881
116.108993 39.930881
116.108420 39.930821
116.108420 39.930821
116.107487 39.930704
116.107383 39.930664
116.107717 39.930174
116.107717 39.930174
116.108112 39.929605
116.108112 39.929605
116.108372 39.929232
116.108372 39.929232
116.108776 39.928642
116.108884 39.928499
116.108884 39.928499
116.109053 39.928269
116.109569 39.927661
116.109686 39.927536
116.109686 39.927536
116.109999 39.927176
116.109999 39.927176
116.111041 39.926043
116.111041 39.926043
116.111379 39.925665
116.111570 39.925466
116.111782 39.925275
116.111925 39.925171
116.113466 39.924194
116.113583 39.924103
116.113687 39.923999
116.113774 39.923891
116.113847 39.923778
116.113908 39.923657
116.113947 39.923535
116.113968 39.923405
116.113977 39.923141
116.113947 39.922889
116.113847 39.922260
116.113834 39.922160
116.113834 39.922043
116.113837 39.922040
116.113737 39.921497
116.113720 39.921150
116.113698 39.920938
116.113689 39.920512
116.113689 39.920512
116.113585 39.919991
116.113585 39.919991
116.113425 39.918893
116.113425 39.918893
116.113342 39.918264
116.113342 39.918264
116.113304 39.918026
116.113304 39.918026
116.113165 39.917092
116.113082 39.916537
116.112974 39.915903
116.112974 39.915903
116.112814 39.915096
116.112649 39.914306
116.112649 39.914306
116.112341 39.912961
116.112259 39.912618
116.112259 39.912618
116.112046 39.911677
116.112029 39.911607
116.112029 39.911607
116.111977 39.911342
116.111834 39.910718
116.111786 39.910466
116.111626 39.909459
116.111596 39.909225
116.111574 39.909042
116.111574 39.909042
116.111574 39.908991
116.111574 39.908991
116.111526 39.908574
116.111444 39.907680
116.111405 39.907385
116.111405 39.907385
116.111284 39.906200
116.111267 39.906109
116.111267 39.905988
116.111267 39.905988
116.111215 39.905541
116.111041 39.903818
116.111041 39.903818
116.110802 39.901518
116.110802 39.901518
116.110559 39.899161
116.110559 39.899161
116.110508 39.898701
116.110438 39.898024
116.110438 39.898024
116.110391 39.897568
116.110356 39.897317
116.110291 39.897065
116.110230 39.896866
116.110230 39.896866
116.110170 39.896705
116.110057 39.896466
116.109918 39.896236
116.109766 39.896015
116.109684 39.895907
116.109593 39.895799
116.109394 39.895595
116.109285 39.895495
116.108496 39.894861
116.108496 39.894861
116.108066 39.894514
116.107936 39.894410
116.107936 39.894410
116.107519 39.894085
116.107519 39.894085
116.107207 39.893824
116.106825 39.893538
116.106825 39.893538
116.106274 39.893139
116.104946 39.892145
116.104373 39.891733
116.104522 39.891567
116.104748 39.891358
116.106671 39.890139
116.107100 39.889883
116.107100 39.889883
116.107295 39.889766
116.107586 39.889545
116.107764 39.889384
116.107985 39.889159
116.108149 39.888933
116.108509 39.888417
116.108579 39.888330
116.108579 39.888330
116.109586 39.886829
116.109790 39.886551
RouteInfo end
RouteInfo start
116.1103820 40.1387159
116.1104740 39.9130620
116.113385 40.138186
116.113515 40.137773
116.113867 40.136988
116.114071 40.136580
116.114261 40.136341
116.114400 40.136198
116.114400 40.136198
116.114760 40.135808
116.115385 40.135096
116.115546 40.134957
116.115741 40.134862
116.116140 40.134719
116.116414 40.134589
116.116583 40.134472
116.116878 40.134190
116.116938 40.134121
116.116938 40.134121
116.117055 40.133982
116.117207 40.133873
116.117498 40.133730
116.118022 40.133526
116.118548 40.133349
116.118699 40.133279
116.118920 40.133080
116.119866 40.132372
116.120266 40.131930
116.120487 40.131635
116.120678 40.131336
116.120681 40.131332
116.121107 40.131432
116.121419 40.131488
116.122595 40.131644
116.122595 40.131645
116.122556 40.131796
116.122548 40.131853
116.122539 40.131913
116.122539 40.132013
116.122565 40.132087
116.122678 40.132295
116.122708 40.132408
116.122717 40.132508
116.122695 40.132842
116.122686 40.132885
116.122665 40.132980
116.122565 40.133141
116.122565 40.133142
116.122778 40.133008
116.123541 40.132474
116.123654 40.132405
116.123875 40.132318
116.124118 40.132249
116.124761 40.132114
116.124982 40.132097
116.125064 40.132097
116.125676 40.132162
116.125815 40.132162
116.125941 40.132149
116.126110 40.132119
116.126309 40.132054
116.126391 40.132019
116.126630 40.131872
116.126632 40.131871
116.126753 40.131801
116.127135 40.131784
116.127591 40.131819
116.128645 40.131940
116.129535 40.132031
116.130451 40.132109
116.130451 40.132109
116.131323 40.132196
116.131323 40.132196
116.136206 40.132747
116.136305 40.132747
116.136370 40.132725
116.136479 40.132669
116.136561 40.132582
116.136518 40.132535
116.136518 40.132535
116.137012 40.132491
116.139859 40.132461
116.139959 40.132461
116.139959 40.132461
116.140779 40.132448
116.141817 40.132418
116.145662 40.132414
116.145662 40.132414
116.146547 40.132414
116.146547 40.132414
116.147250 40.132414
116.147250 40.132414
116.149815 40.132422
116.149815 40.132422
116.151278 40.132405
116.151278 40.132405
116.151529 40.132397
116.152315 40.132323
116.152315 40.132323
116.152645 40.132276
116.152875 40.132232
116.152875 40.132232
116.153261 40.132150
116.153261 40.132150
116.153916 40.131976
116.153916 40.131976
116.154276 40.131868
116.154276 40.131868
116.155144 40.131599
116.155144 40.131599
116.155808 40.131395
116.155808 40.131395
116.156246 40.131265
116.156250 40.131263
116.156376 40.131146
116.156606 40.130990
116.156996 40.130808
116.157721 40.130595
116.157721 40.130594
116.157712 40.130560
116.157695 40.130278
116.157695 40.129696
116.157691 40.129523
116.157691 40.129150
116.157691 40.129149
116.157704 40.128898
116.157721 40.128368
116.157712 40.128242
116.157691 40.128043
116.157634 40.127848
116.157591 40.127722
116.157530 40.127596
116.157461 40.127483
116.157400 40.127392
116.157240 40.127236
116.157239 40.127235
116.157148 40.127148
116.157066 40.127079
116.156875 40.126953
116.156524 40.126779
116.156311 40.126697
116.155964 40.126615
116.155617 40.126572
116.155426 40.126568
116.155218 40.126572
116.154966 40.126606
116.154792 40.126637
116.154602 40.126693
116.154263 40.126814
116.154099 40.126892
116.153951 40.126984
116.153847 40.127066
116.153756 40.127152
116.153708 40.127218
116.153665 40.127300
116.153635 40.127378
116.153626 40.127482
116.153648 40.127599
116.153695 40.127681
116.153769 40.127781
116.153921 40.127894
116.154020 40.127941
116.154120 40.127976
116.154211 40.127993
116.154311 40.128002
116.154502 40.127989
116.154610 40.127959
116.154753 40.127894
116.154861 40.127816
116.154935 40.127738
116.154982 40.127672
116.155052 40.127529
116.155195 40.127048
116.155195 40.127048
116.155225 40.123289
116.155225 40.123289
116.155234 40.122256
116.155234 40.122256
116.155238 40.122152
116.155294 40.114761
116.155338 40.109370
116.155394 40.104140
116.155407 40.101514
116.155398 40.101367
116.155398 40.101081
116.155398 40.101081
116.155394 40.100794
116.155394 40.100794
116.155377 40.100013
116.155247 40.098733
116.155143 40.098104
116.154922 40.097292
116.154822 40.096993
116.154522 40.096177
116.154036 40.095022
116.153103 40.092970
116.153012 40.092779
116.153012 40.092779
116.149406 40.084702
116.149406 40.084702
116.149236 40.084372
116.148863 40.083552
116.148863 40.083552
116.148772 40.083356
116.148542 40.082831
116.148542 40.082831
116.148308 40.082298
116.148308 40.082298
116.147718 40.080991
116.147718 40.080991
116.147375 40.080219
116.145470 40.076044
116.145127 40.075323
116.144645 40.074399
116.144645 40.074399
116.144346 40.073843
116.144346 40.073843
116.143712 40.072689
116.143417 40.072168
116.143417 40.072168
116.142732 40.071031
116.142081 40.069998
116.141860 40.069664
116.141860 40.069664
116.141335 40.068892
116.140792 40.068119
116.140792 40.068119
116.140541 40.067763
116.139907 40.066904
116.139594 40.066505
116.139594 40.066505
116.138596 40.065233
116.138596 40.065233
116.137733 40.064188
116.137390 40.063797
116.137390 40.063797
116.136657 40.062964
116.135224 40.061419
116.134821 40.061006
116.134821 40.061006
116.133584 40.059782
116.133081 40.059296
116.132447 40.058702
116.131831 40.058142
116.131310 40.057656
116.131310 40.057656
116.130334 40.056823
116.129283 40.055968
116.129283 40.055968
116.128823 40.055603
116.128823 40.055603
116.128459 40.055308
116.127404 40.054501
116.125864 40.053364
116.124857 40.052657
116.123881 40.051997
116.122731 40.051251
116.121455 40.050444
116.120435 40.049771
116.120435 40.049771
116.120075 40.049524
116.120075 40.049524
116.119268 40.048942
116.118665 40.048487
116.118101 40.048031
116.117628 40.047624
116.117046 40.047090
116.117046 40.047090
116.116825 40.046873
116.116339 40.046326
116.116048 40.045966
116.115688 40.045476
116.115458 40.045146
116.115458 40.045146
116.115263 40.044830
116.115263 40.044830
116.114894 40.044248
116.114560 40.043684
116.114096 40.042964
116.113836 40.042591
116.113545 40.042226
116.113181 40.041797
116.112846 40.041446
116.112174 40.040812
116.111953 40.040626
116.111601 40.040348
116.110082 40.039228
116.109566 40.038829
116.109236 40.038564
116.108941 40.038308
