RouteInfo start
116.1101690 39.9290232
116.1102600 39.8867550
116.110160 39.929120
116.110300 39.929120
116.110450 39.929160
116.110450 39.929160
116.109890 39.930420
116.109760 39.930750
116.109700 39.930910
116.109700 39.930910
116.110370 39.930970
116.111240 39.931170
116.112400 39.931390
116.113020 39.931530
116.113330 39.931580
116.113330 39.931580
116.113440 39.931600
116.113690 39.930690
116.114250 39.928960
116.114630 39.927900
116.114740 39.927610
116.115160 39.926530
116.115300 39.926110
116.115320 39.925820
116.115280 39.925300
116.115010 39.923740
116.114870 39.922230
116.114770 39.922010
116.114680 39.921880
116.114580 39.921790
116.114580 39.921790
116.114520 39.921720
116.114270 39.921540
116.114270 39.921540
116.114180 39.921460
116.114180 39.921460
116.114050 39.921260
116.113870 39.920910
116.113750 39.920590
116.113690 39.920370
116.113630 39.919840
116.113470 39.918890
116.113200 39.916670
116.113140 39.916380
116.112700 39.914300
116.112100 39.911790
116.112100 39.911790
116.111730 39.910090
116.111550 39.909100
116.111350 39.907210
116.111220 39.905990
116.111060 39.903710
116.110470 39.898520
116.110390 39.897720
116.110300 39.897040
116.110220 39.896770
116.110130 39.896560
116.109960 39.896240
116.109770 39.895900
116.109610 39.895720
116.109350 39.895460
116.108720 39.894980
116.108720 39.894980
116.108080 39.894530
116.108080 39.894530
116.107920 39.894410
116.107920 39.894410
116.106820 39.893550
116.104440 39.891740
116.104440 39.891740
116.105440 39.891000
116.105440 39.891000
116.107090 39.889920
116.107090 39.889920
116.107650 39.889500
116.108060 39.889180
116.108550 39.888430
116.108550 39.888430
116.109750 39.886810
116.109920 39.886590
RouteInfo end
RouteInfo start
116.1103820 40.1387159
116.1104740 39.9130620
116.112080 40.138060
116.112400 40.137430
116.112710 40.136270
116.112760 40.135720
116.112680 40.135110
116.112910 40.134910
116.113010 40.134820
116.113550 40.134580
116.113650 40.134430
116.113840 40.134270
116.114090 40.133990
116.114130 40.133920
116.114360 40.133420
116.114680 40.132980
116.114800 40.132870
116.115230 40.132500
116.115340 40.132430
116.115540 40.132340
116.115870 40.132270
116.116230 40.132080
116.117050 40.131860
116.117710 40.131640
116.118180 40.131490
116.118620 40.131380
116.119400 40.131250
116.119630 40.131220
116.119760 40.131230
116.120730 40.131310
116.121240 40.131440
116.122490 40.131640
116.122560 40.131690
116.122580 40.131820
116.122550 40.132080
116.122680 40.132300
116.122750 40.132480
116.122760 40.132670
116.122720 40.133040
116.122720 40.133040
116.123560 40.132430
116.124010 40.132260
116.124620 40.132140
116.124940 40.132100
116.125740 40.132170
116.125930 40.132160
116.126260 40.132060
116.126700 40.131840
116.126910 40.131800
116.127500 40.131810
116.129380 40.131990
116.136810 40.132810
116.136810 40.132810
116.136710 40.132740
116.136450 40.132520
116.136450 40.132520
116.136340 40.132410
116.136340 40.132410
116.139890 40.132390
116.139890 40.132390
116.140510 40.132410
116.142210 40.132390
116.145370 40.132410
116.145750 40.132390
116.147660 40.132410
116.150940 40.132430
116.151580 40.132380
116.152350 40.132300
116.152610 40.132240
116.152610 40.132240
116.153210 40.132140
116.153990 40.131950
116.155410 40.131490
116.156310 40.131240
116.157590 40.130810
116.157770 40.130760
116.157770 40.130760
116.157730 40.130040
116.157750 40.129120
116.157740 40.128410
116.157720 40.128260
116.157630 40.127920
116.157570 40.127760
116.157390 40.127500
116.157390 40.127500
116.157240 40.127300
116.157040 40.127130
116.156770 40.126950
116.156480 40.126810
116.156220 40.126710
116.155940 40.126660
116.155710 40.126640
116.155270 40.126640
116.155100 40.126640
116.154920 40.126670
116.154750 40.126710
116.154470 40.126800
116.154150 40.126920
116.153950 40.127040
116.153800 40.127190
116.153700 40.127340
116.153680 40.127430
116.153670 40.127500
116.153680 40.127590
116.153730 40.127720
116.153770 40.127780
116.153820 40.127850
116.154080 40.128020
116.154180 40.128060
116.154330 40.128070
116.154540 40.128050
116.154650 40.128020
116.154790 40.127950
116.154910 40.127840
116.154990 40.127740
116.155030 40.127560
116.155100 40.127080
116.155100 40.126560
116.155180 40.124340
116.155180 40.124340
116.155190 40.122560
116.155190 40.122560
116.155330 40.108090
116.155360 40.102210
116.155370 40.101270
116.155370 40.101270
116.155380 40.100010
116.155270 40.099000
116.155160 40.098260
116.155110 40.098060
116.154900 40.097220
116.154620 40.096410
116.154360 40.095800
116.151380 40.089250
116.149340 40.084700
116.148380 40.082530
116.148140 40.082000
116.147860 40.081340
116.147550 40.080680
116.146360 40.078040
116.145640 40.076440
116.144740 40.074640
116.143370 40.072170
116.143370 40.072170
116.142340 40.070430
116.141750 40.069490
116.140970 40.068390
116.139660 40.066590
116.138570 40.065220
116.137610 40.064090
116.137430 40.063860
116.136830 40.063150
116.135820 40.062050
116.134760 40.060950
116.134420 40.060620
116.130780 40.057250
116.129830 40.056440
116.127880 40.054880
116.126780 40.054060
116.125610 40.053220
116.124510 40.052450
116.122770 40.051310
116.121080 40.050230
116.120560 40.049910
116.119930 40.049480
116.119070 40.048850
116.118680 40.048530
116.117890 40.047880
116.117240 40.047310
116.116330 40.046440
116.115530 40.045300
116.115400 40.045040
116.114550 40.043690
116.113950 40.042770
116.113270 40.041840
116.112160 40.040830
116.111540 40.040330
116.110920 40.039840
116.109620 40.038930
116.109120 40.038510
116.108630 40.038050
116.108250 40.037630
116.107830 40.037110
116.107390 40.036470
116.107230 40.036200
116.106950 40.035580
116.106750 40.035060
116.106520 40.034250
116.106380 40.033380
116.106260 40.032440
116.106200 40.031490
116.106090 40.030550
116.106030 40.029720
116.105900 40.028820
116.105720 40.027020
116.105650 40.026150
116.105690 40.025320
116.105830 40.024440
116.105980 40.023910
116.106250 40.023180
116.106620 40.022300
116.106960 40.021440
116.107810 40.019500
116.108210 40.018600
116.108540 40.017760
116.109310 40.016000
116.110400 40.013370
116.110690 40.012490
116.110830 40.011670
116.110830 40.010830
116.110750 40.010260
116.110570 40.009530
116.110380 40.008960
116.110020 40.008150
116.109580 40.007320
116.109050 40.006490
116.108630 40.005940
116.107920 40.005100
116.107460 40.004590
116.106700 40.003900
116.106120 40.003380
116.105360 40.002810
116.104530 40.002230
116.102180 40.000690
116.101170 40.000000
116.099230 39.998720
116.097720 39.997710
116.096960 39.997220
116.095620 39.996310
116.095020 39.995850
116.094150 39.995000
116.093540 39.994110
116.093360 39.993780
116.093080 39.993090
116.092960 39.992610
116.092900 39.992130
116.092900 39.991280
116.092980 39.990710
116.093180 39.989810
116.093550 39.989010
116.093930 39.988280
116.094320 39.987400
116.094690 39.986500
116.094920 39.985760
116.094930 39.985630
116.094930 39.985630
116.095070 39.984810
116.095140 39.983010
116.095250 39.982140
116.095480 39.981260
116.095650 39.980750
116.095990 39.979960
116.096430 39.979100
116.096820 39.978270
116.097100 39.977490
116.097400 39.976480
116.097880 39.974590
116.098070 39.973640
116.098260 39.972980
116.098780 39.970850
116.099010 39.969930
116.099260 39.969090
116.099360 39.968820
116.099750 39.968070
116.100210 39.967250
116.100470 39.966880
116.100970 39.966260
116.101940 39.965310
116.104220 39.963400
116.105850 39.962080
116.106420 39.961590
116.106680 39.961350
116.107210 39.960730
116.107740 39.960020
116.108250 39.959200
116.108650 39.958390
116.109490 39.956880
116.109930 39.956020
116.110710 39.954760
116.111010 39.954340
116.111650 39.953560
116.112050 39.953140
116.112580 39.952690
116.113480 39.951850
116.114010 39.951310
116.114500 39.950690
116.114810 39.950220
116.115230 39.949430
116.115500 39.948720
116.115740 39.947890
116.115900 39.946960
116.115990 39.946090
116.116670 39.940810
116.116840 39.939740
116.117010 39.938920
116.117220 39.938040
116.117640 39.937020
116.117910 39.936310
116.118430 39.935430
116.118990 39.934540
116.119640 39.933680
116.120050 39.933160
116.120050 39.933160
116.120350 39.932390
116.120450 39.932020
116.120460 39.931880
116.120450 39.931500
116.120430 39.931330
116.120330 39.931020
116.120300 39.930860
116.120330 39.930690
116.120370 39.930580
116.120480 39.930450
116.120560 39.930380
116.120670 39.930310
116.120790 39.930270
116.120890 39.930250
116.121090 39.930230
116.121320 39.930240
116.121430 39.930270
116.121670 39.930400
116.121750 39.930470
116.121840 39.930580
116.121900 39.930710
116.121970 39.930930
116.122050 39.931360
116.122100 39.931700
116.122120 39.932060
116.122100 39.932460
116.122060 39.932750
116.122020 39.933030
116.121890 39.933500
116.121630 39.934120
116.121400 39.934570
116.121400 39.934570
116.121080 39.934980
116.120920 39.935140
116.120920 39.935140
116.120800 39.935300
116.120020 39.936070
116.119820 39.936250
116.119160 39.936750
116.118170 39.937390
116.117960 39.937550
116.117840 39.937790
116.117860 39.937930
116.117960 39.938130
116.118020 39.938190
116.118210 39.938280
116.118280 39.938320
116.118500 39.938340
116.118700 39.938320
116.118800 39.938260
116.118930 39.938190
116.119140 39.937970
116.119210 39.937840
116.119230 39.937690
116.119200 39.937570
116.118960 39.937410
116.118450 39.937200
116.118440 39.937170
116.118440 39.937170
116.116900 39.936890
116.115950 39.936730
116.115950 39.936730
116.112250 39.936200
116.112040 39.936180
116.112040 39.936180
116.111890 39.936070
116.112230 39.935330
116.112760 39.933700
